Zip Code,City,State,Metro,CountyName,SizeRank,Median_Price
1001,Agawam,MA,Springfield,Hampden,5483,138
1002,Amherst,MA,Springfield,Hampshire,2613,180
1005,Town of Barre,MA,Worcester,Worcester,9746,128
1007,Town of Belchertown,MA,Springfield,Hampshire,5253,138
1008,Blandford,MA,Springfield,Hampden,12752,136
1010,Brimfield,MA,Springfield,Hampden,9154,134
1011,Chester,MA,Springfield,Hampden,12753,114
1013,Chicopee,MA,Springfield,Hampden,4208,130
1020,Chicopee,MA,Springfield,Hampden,3541,141
1022,Chicopee,MA,Springfield,Hampden,10312,116
1026,Cummington,MA,Springfield,Hampshire,11810,145
1027,Easthampton,MA,Springfield,Hampshire,4782,166
1028,East Longmeadow,MA,Springfield,Hampden,4919,150
1030,Agawam,MA,Springfield,Hampden,6337,150
1033,Town of Granby,MA,Springfield,Hampshire,8190,152
1034,Tolland,MA,Springfield,Hampden,12754,150
1035,Hadley,MA,Springfield,Hampshire,8450,192
1036,Hampden,MA,Springfield,Hampden,8616,152
1038,Town of Hatfield,MA,Springfield,Hampshire,12201,178
1040,Holyoke,MA,Springfield,Hampden,932,112
1050,Huntington,MA,Springfield,Hampshire,10738,133
1053,Northampton,MA,Springfield,Hampshire,12755,156
1054,Leverett,MA,"Greenfield Town, MA",Franklin,11142,150
1056,Ludlow,MA,Springfield,Hampden,4255,141
1057,Monson,MA,Springfield,Hampden,7560,135
1060,Northampton,MA,Springfield,Hampshire,6536,194
1062,Northampton,MA,Springfield,Hampshire,7941,184
1068,Oakham,MA,Worcester,Worcester,10928,137
1069,Town of Palmer,MA,Springfield,Hampden,8428,127
1071,Russell,MA,Springfield,Hampden,11246,125
1072,Shutesbury,MA,"Greenfield Town, MA",Franklin,11472,164
1073,Southampton,MA,Springfield,Hampshire,8811,160
1075,South Hadley,MA,Springfield,Hampshire,4476,151
1077,Southwick,MA,Springfield,Hampden,6921,157
1080,Three Rivers,MA,Springfield,Hampden,11562,124
1081,Wales,MA,Springfield,Hampden,11234,140
1082,Town of Ware,MA,Springfield,Hampshire,6629,113
1083,Town of Warren,MA,Worcester,Worcester,12499,110
1085,Westfield,MA,Springfield,Hampden,694,143
1089,West Springfield,MA,Springfield,Hampden,2478,143
1095,Town of Wilbraham,MA,Springfield,Hampden,6202,145
1096,Williamsburg,MA,Springfield,Hampshire,12295,159
1098,Worthington,MA,Springfield,Hampshire,11924,150
1104,Springfield,MA,Springfield,Hampden,4731,97
1105,Springfield,MA,Springfield,Hampden,7729,67
1106,Longmeadow,MA,Springfield,Hampden,6158,161
1107,Springfield,MA,Springfield,Hampden,7830,89
1108,Springfield,MA,Springfield,Hampden,2999,85
1109,Springfield,MA,Springfield,Hampden,3613,85
1118,Springfield,MA,Springfield,Hampden,6137,115
1119,Springfield,MA,Springfield,Hampden,6820,116
1128,Springfield,MA,Springfield,Hampden,10973,132
1129,Springfield,MA,Springfield,Hampden,8468,122
1151,Springfield,MA,Springfield,Hampden,7158,98
1201,Pittsfield,MA,Pittsfield,Berkshire,661,114
1220,Town of Adams,MA,Pittsfield,Berkshire,7603,100
1223,Becket,MA,Pittsfield,Berkshire,10577,163
1225,Cheshire,MA,Pittsfield,Berkshire,10629,117
1226,Dalton,MA,Pittsfield,Berkshire,8193,103
1230,Town of Great Barrington,MA,Pittsfield,Berkshire,7949,200
1235,Hinsdale,MA,Pittsfield,Berkshire,9905,145
1237,Lanesboro,MA,Pittsfield,Berkshire,12622,143
1238,Town of Lee,MA,Pittsfield,Berkshire,8392,159
1240,Town of Lenox,MA,Pittsfield,Berkshire,9203,178
1245,Monterey,MA,Pittsfield,Berkshire,12729,274
1247,North Adams,MA,Pittsfield,Berkshire,5059,95
1253,Otis,MA,Pittsfield,Berkshire,12326,207
1254,Richmond,MA,Pittsfield,Berkshire,11608,218
1255,Sandisfield,MA,Pittsfield,Berkshire,12011,155
1257,Sheffield,MA,Pittsfield,Berkshire,11597,179
1262,Stockbridge,MA,Pittsfield,Berkshire,12500,251
1266,West Stockbridge,MA,Pittsfield,Berkshire,11034,209
1267,Town of Williamstown,MA,Pittsfield,Berkshire,7392,169
1270,Windsor,MA,Pittsfield,Berkshire,12022,141
1301,Town of Greenfield,MA,"Greenfield Town, MA",Franklin,4855,118
1330,Ashfield,MA,"Greenfield Town, MA",Franklin,12181,141
1331,Town of Athol,MA,Worcester,Worcester,6854,109
1337,Bernardston,MA,"Greenfield Town, MA",Franklin,11221,140
1338,Shelburne Falls,MA,"Greenfield Town, MA",Franklin,12646,130
1339,Charlemont,MA,"Greenfield Town, MA",Franklin,12566,130
1340,Colrain,MA,"Greenfield Town, MA",Franklin,10866,119
1341,Conway,MA,"Greenfield Town, MA",Franklin,11190,172
1344,Erving,MA,"Greenfield Town, MA",Franklin,12685,127
1351,Montague,MA,"Greenfield Town, MA",Franklin,11272,139
1354,Gill,MA,"Greenfield Town, MA",Franklin,12750,126
1360,Town of Northfield,MA,"Greenfield Town, MA",Franklin,9948,123
1364,Town of Orange,MA,"Greenfield Town, MA",Franklin,8083,102
1366,Petersham,MA,Worcester,Worcester,12013,136
1368,Royalston,MA,Worcester,Worcester,11692,150
1370,Shelburne,MA,"Greenfield Town, MA",Franklin,10416,138
1373,South Deerfield,MA,"Greenfield Town, MA",Franklin,9634,153
1375,Sunderland,MA,"Greenfield Town, MA",Franklin,10993,153
1376,Turners Falls,MA,"Greenfield Town, MA",Franklin,8924,125
1420,Fitchburg,MA,Worcester,Worcester,965,113
1430,Ashburnham,MA,Worcester,Worcester,9195,143
1431,Ashby,MA,Boston,Middlesex,11080,140
1432,Town of Ayer,MA,Boston,Middlesex,9920,183
1440,Gardner,MA,Worcester,Worcester,3735,117
1450,Town of Groton,MA,Boston,Middlesex,8467,206
1451,Harvard,MA,Worcester,Worcester,9118,228
1452,Hubbardston,MA,Worcester,Worcester,9046,142
1453,Leominster,MA,Worcester,Worcester,879,142
1460,Littleton,MA,Boston,Middlesex,7877,229
1462,Town of Lunenburg,MA,Worcester,Worcester,6532,157
1463,Town of Pepperell,MA,Boston,Middlesex,6144,157
1464,Town of Shirley,MA,Boston,Middlesex,7732,147
1468,Templeton,MA,Worcester,Worcester,11707,122
1469,Town of Townsend,MA,Boston,Middlesex,8976,141
1473,Westminster,MA,Worcester,Worcester,7689,144
1474,Town of Townsend,MA,Boston,Middlesex,11708,137
1475,Town of Winchendon,MA,Worcester,Worcester,6654,112
1501,Auburn,MA,Worcester,Worcester,4832,167
1503,Berlin,MA,Worcester,Worcester,12756,186
1504,Blackstone,MA,Worcester,Worcester,8089,165
1505,Boylston,MA,Worcester,Worcester,9167,175
1506,Brookfield,MA,Worcester,Worcester,11212,138
1507,Charlton,MA,Worcester,Worcester,5707,147
1510,Town of Clinton,MA,Worcester,Worcester,5841,147
1515,Town of East Brookfield,MA,Worcester,Worcester,10564,149
1516,Douglas,MA,Worcester,Worcester,7197,153
1518,Fiskdale,MA,Worcester,Worcester,11457,150
1519,Grafton,MA,Worcester,Worcester,8451,193
1520,Holden,MA,Worcester,Worcester,5696,165
1521,Town of Holland,MA,Springfield,Hampden,10389,167
1522,Holden,MA,Worcester,Worcester,10261,161
1523,Lancaster,MA,Worcester,Worcester,8800,176
1524,Leicester,MA,Worcester,Worcester,8688,135
1527,Millbury,MA,Worcester,Worcester,6422,156
1529,Millville,MA,Worcester,Worcester,9798,150
1532,Town of Northborough,MA,Worcester,Worcester,5282,212
1534,Northbridge,MA,Worcester,Worcester,9828,171
1535,Town of North Brookfield,MA,Worcester,Worcester,9876,141
1536,Grafton,MA,Worcester,Worcester,9222,186
1537,Town of Oxford,MA,Worcester,Worcester,12288,133
1540,Town of Oxford,MA,Worcester,Worcester,6734,162
1541,Princeton,MA,Worcester,Worcester,9689,160
1542,Leicester,MA,Worcester,Worcester,11484,144
1543,Town of Rutland,MA,Worcester,Worcester,11123,148
1545,Shrewsbury,MA,Worcester,Worcester,1892,214
1550,Town of Southbridge,MA,Worcester,Worcester,5199,114
1560,Grafton,MA,Worcester,Worcester,10042,176
1562,Town of Spencer,MA,Worcester,Worcester,6145,148
1564,Sterling,MA,Worcester,Worcester,7969,166
1566,Town of Sturbridge,MA,Worcester,Worcester,9088,150
1568,Upton,MA,Worcester,Worcester,8440,188
1569,Uxbridge,MA,Worcester,Worcester,5618,162
1570,Town of Webster,MA,Worcester,Worcester,4685,140
1571,Dudley,MA,Worcester,Worcester,6642,144
1581,Westborough,MA,Worcester,Worcester,4759,200
1583,West Boylston,MA,Worcester,Worcester,7567,167
1585,Town of West Brookfield,MA,Worcester,Worcester,8955,146
1588,Whitinsville,MA,Worcester,Worcester,7340,161
1590,Sutton,MA,Worcester,Worcester,7065,176
1602,Worcester,MA,Worcester,Worcester,4054,132
1603,Worcester,MA,Worcester,Worcester,4778,124
1604,Worcester,MA,Worcester,Worcester,1430,136
1605,Worcester,MA,Worcester,Worcester,4249,141
