nodedef>name,num_turtles INT,lat INT,long INT
0,1,-91,31
1,0,-74,43
2,5,-121,39
3,5,-82,29
4,5,-100,29
5,0,-80,40
6,6,-109,37
7,1,-85,35
8,0,-97,41
9,6,-93,39
10,0,-97,37
11,0,-78,43
12,0,-121,37
13,9,-93,41
14,0,-76,36
15,0,-93,30
16,5,-113,32
17,0,-97,36
18,0,-96,42
19,6,-78,38
20,3,-111,48
21,0,-115,36
22,6,-88,40
23,0,-117,35
24,5,-91,32
25,9,-95,33
26,5,-108,39
27,7,-76,41
28,1,-93,45
29,0,-92,39
30,0,-82,37
31,0,-86,35
32,0,-80,36
33,0,-106,39
34,8,-117,43
35,5,-84,35
36,0,-81,29
37,3,-101,36
38,4,-99,26
39,0,-95,32
40,1,-96,33
41,1,-104,40
42,0,-89,44
43,0,-82,36
44,5,-112,42
45,0,-89,41
46,0,-79,40
47,0,-107,35
48,6,-77,35
49,0,-115,32
50,0,-80,38
51,4,-121,40
52,0,-82,41
53,4,-114,48
54,2,-88,45
55,0,-99,32
56,0,-88,31
57,0,-100,37
58,0,-117,34
59,0,-77,43
60,0,-100,32
61,0,-106,32
62,0,-91,45
63,0,-97,48
64,0,-119,46
65,0,-119,40
66,0,-96,43
67,5,-149,62
68,8,-106,41
69,6,-94,45
70,0,-95,34
71,0,-121,38
72,0,-89,40
73,0,-83,30
74,5,-120,35
75,0,-95,38
76,0,-82,42
77,0,-82,34
78,0,-112,33
79,0,-106,33
80,0,-96,39
81,0,-117,44
82,0,-97,30
83,6,-86,43
84,2,-117,47
85,0,-96,37
86,5,-116,34
87,0,-114,37
88,4,-75,44
89,7,-98,28
90,0,-94,35
91,0,-80,33
92,0,-111,37
93,0,-78,41
94,0,-124,44
95,0,-122,42
96,5,-107,39
97,5,-87,33
98,0,-103,41
99,5,-95,39
100,0,-112,44
101,6,-88,33
102,1,-81,38
103,0,-116,35
104,0,-97,33
105,5,-124,41
106,0,-118,45
107,0,-95,35
108,0,-92,44
109,8,-74,41
110,5,-90,41
111,6,-156,21
112,0,-95,31
113,0,-102,35
114,0,-83,31
115,1,-122,41
116,0,-88,37
117,0,-90,42
118,8,-90,35
119,6,-80,25
120,0,-94,30
121,0,-97,47
122,1,-122,40
123,2,-122,47
124,0,-85,33
125,3,-91,41
126,0,-123,43
127,1,-91,34
128,8,-116,33
129,0,-81,32
130,0,-86,32
131,1,-107,43
132,6,-123,44
133,5,-96,41
134,0,-86,42
135,0,-101,47
136,0,-115,33
137,0,-90,34
138,7,-86,37
139,0,-84,36
140,7,-96,30
141,0,-108,33
142,2,-122,43
143,1,-82,39
144,2,-86,34
145,7,-88,42
146,0,-81,40
147,0,-120,46
148,0,-75,43
149,3,-104,39
150,1,-91,36
151,0,-92,33
152,5,-90,30
153,6,-76,39
154,0,-113,33
155,6,-118,33
156,1,-121,44
157,7,-76,37
158,0,-79,43
159,0,-97,38
160,7,-120,36
161,2,-88,34
162,5,-83,37
163,0,-87,30
164,1,-93,37
165,0,-99,30
166,3,-89,32
167,5,-81,30
168,8,-97,29
169,0,-84,38
170,0,-86,39
171,0,-118,46
172,7,-114,35
173,0,-98,33
174,0,-113,37
175,5,-119,34
176,7,-80,42
177,3,-95,46
178,0,-92,43
179,0,-83,33
180,0,-107,41
181,0,-91,43
182,6,-112,35
183,0,-90,38
184,0,-119,39
185,0,-83,42
186,0,-100,35
187,0,-135,58
188,0,-99,29
189,0,-86,38
190,6,-117,46
191,0,-123,39
192,0,-89,34
193,9,-122,36
194,0,-119,48
195,0,-89,35
196,0,-122,44
197,0,-93,35
198,0,-92,32
199,0,-119,47
200,0,-123,42
201,1,-123,45
202,0,-89,43
203,0,-74,42
204,0,-87,32
205,4,-94,41
206,0,-83,41
207,0,-84,41
208,0,-120,38
209,0,-94,32
210,5,-123,46
211,0,-97,32
212,0,-123,47
213,0,-80,35
214,0,-86,33
215,0,-94,36
216,5,-114,34
217,0,-119,35
218,0,-87,36
219,1,-123,48
220,0,-80,26
221,0,-80,34
222,5,-114,47
223,2,-100,31
224,0,-111,35
225,6,-115,35
226,5,-79,42
227,0,-124,47
228,0,-108,38
229,0,-96,31
230,5,-147,64
231,0,-124,45
232,0,-110,32
233,0,-90,39
234,1,-76,38
235,0,-76,40
236,0,-88,30
237,8,-106,35
238,3,-76,43
239,3,-98,32
240,0,-84,40
241,1,-99,35
242,0,-75,41
243,6,-122,39
244,0,-113,35
245,0,-116,49
246,0,-97,28
247,0,-82,38
248,0,-95,40
249,0,-91,35
250,0,-92,30
251,0,-113,34
252,8,-90,32
253,0,-73,41
254,0,-86,40
255,0,-113,41
256,1,-108,40
257,0,-112,34
258,5,-93,46
259,0,-123,38
260,0,-132,55
261,0,-73,43
262,8,-81,31
263,0,-104,38
264,0,-119,45
265,7,-110,33
266,0,-87,45
267,0,-83,39
268,0,-88,41
269,0,-84,34
270,0,-121,47
271,5,-124,42
272,0,-111,34
273,0,-87,40
274,6,-75,42
275,0,-106,38
276,10,-90,36
277,0,-87,41
278,8,-78,37
279,0,-101,33
280,0,-95,36
281,5,-104,41
282,8,-92,45
283,0,-75,40
284,5,-117,38
285,0,-85,37
286,0,-97,44
287,0,-85,36
288,0,-89,37
289,9,-75,45
290,0,-157,21
291,6,-99,34
292,4,-88,43
293,0,-79,38
294,0,-81,42
295,4,-122,49
296,3,-82,26
297,0,-85,31
298,0,-105,38
299,5,-79,35
300,0,-88,36
301,0,-120,34
302,0,-83,28
303,0,-93,44
304,6,-111,31
305,5,-85,40
306,0,-106,40
307,0,-84,33
308,0,-94,44
309,2,-111,47
310,0,-90,43
311,6,-105,41
312,5,-116,43
313,6,-91,42
314,0,-83,35
315,1,-102,34
316,0,-105,39
317,0,-95,29
318,2,-84,43
319,0,-81,35
320,0,-107,38
321,0,-79,36
322,0,-118,35
323,5,-92,42
324,8,-88,44
325,5,-86,41
326,0,-101,31
327,1,-84,44
328,0,-109,46
329,0,-120,48
330,7,-158,22
331,7,-97,34
332,0,-111,32
333,0,-122,38
334,0,-119,36
335,8,-106,36
336,0,-89,36
337,0,-81,33
338,0,-118,47
339,4,-84,37
340,9,-122,37
341,0,-87,37
342,6,-111,33
343,1,-118,36
344,0,-81,26
345,0,-86,31
346,0,-111,41
347,9,-90,33
348,0,-82,30
349,0,-77,39
350,0,-79,33
351,5,-86,36
352,0,-98,38
353,0,-79,41
354,0,-85,41
355,5,-95,37
356,0,-80,37
357,0,-105,40
358,2,-110,35
359,0,-74,45
360,0,-110,31
361,0,-85,42
362,9,-100,33
363,0,-90,45
364,1,-89,31
365,6,-85,32
366,0,-82,31
367,6,-81,39
368,0,-75,39
369,6,-112,47
370,0,-93,48
371,5,-96,32
372,0,-85,30
373,4,-77,36
374,0,-95,30
375,6,-94,42
376,0,-107,40
377,0,-85,34
378,8,-113,45
379,0,-94,37
380,0,-81,28
381,6,-96,34
382,0,-98,26
383,2,-97,31
384,7,-87,35
385,0,-124,39
386,0,-92,47
387,0,-78,42
388,5,-82,32
389,0,-100,28
390,1,-79,34
391,0,-120,47
392,3,-87,31
393,6,-78,40
394,5,-124,46
395,1,-83,34
396,4,-81,27
397,6,-96,36
398,1,-121,36
399,0,-75,38
400,0,-97,26
401,0,-91,38
402,7,-77,38
403,10,-99,28
404,0,-83,43
405,0,-156,20
406,6,-84,39
407,0,-92,35
408,0,-120,39
409,3,-123,41
410,0,-87,39
411,8,-78,35
412,0,-79,39
413,0,-108,37
414,0,-94,33
415,0,-87,42
416,0,-78,39
417,0,-122,46
418,0,-122,45
419,0,-80,39
420,0,-85,44
421,7,-83,32
422,6,-74,44
423,0,-83,38
424,5,-84,32
425,0,-90,31
426,2,-118,37
427,2,-78,34
428,0,-102,39
429,5,-121,48
430,0,-93,34
431,3,-87,38
432,7,-158,21
433,0,-97,35
434,0,-77,41
435,0,-81,25
436,9,-83,40
437,6,-111,46
438,0,-101,32
439,0,-81,36
440,7,-85,39
441,0,-93,33
442,0,-77,37
443,0,-118,48
444,0,-89,39
445,6,-93,31
446,0,-123,49
447,6,-83,27
448,2,-96,29
449,0,-155,20
450,0,-98,30
451,0,-118,34
452,6,-88,38
453,8,-76,42
454,7,-83,36
455,0,-82,35
456,0,-98,35
457,7,-99,33
458,6,-84,42
459,0,-91,30
460,0,-148,64
461,6,-85,43
462,0,-112,46
463,0,-90,44
464,5,-112,41
465,0,-92,41
466,3,-94,46
467,0,-83,29
468,0,-89,42
469,5,-93,42
470,0,-94,39
471,0,-104,42
472,0,-77,40
473,0,-84,30
474,2,-91,44
475,0,-82,40
476,1,-116,37
477,0,-99,31
478,1,-77,42
479,0,-122,48
480,6,-106,43
481,0,-120,40
482,0,-88,39
483,0,-108,46
484,0,-82,25
485,0,-116,44
486,9,-87,34
487,0,-92,48
488,2,-107,32
489,0,-90,40
490,0,-92,31
491,0,-94,31
492,0,-121,35
493,0,-91,39
494,0,-116,36
495,0,-98,36
496,0,-81,34
497,0,-98,34
498,1,-82,27
499,2,-80,41
500,0,-115,34
501,2,-114,33
502,0,-81,41
503,2,-84,31
504,3,-82,33
505,5,-80,28
506,0,-76,44
507,10,-119,38
508,4,-117,48
509,0,-124,43
510,0,-73,44
511,0,-102,32
512,0,-120,37
513,0,-112,43
514,0,-93,47
515,0,-98,31
516,0,-114,43
517,1,-117,33
518,0,-110,34
519,6,-78,36
520,1,-98,29
521,0,-92,36
522,6,-80,27
523,1,-119,37
524,0,-159,22
525,0,-109,39
526,0,-85,38
527,1,-82,28
528,0,-88,35
529,0,-92,38
530,0,-121,42
531,0,-86,30
532,0,-73,45

edgedef>node1,node2,weight DOUBLE
259,0,1
496,0,1
168,0,2
402,0,1
155,0,1
448,0,1
290,0,1
215,0,1
143,0,1
423,0,1
154,1,1
200,1,1
233,1,3
330,1,2
155,1,1
470,1,1
30,1,1
419,1,1
352,32,9
354,1,1
425,32,20
97,4,1
271,4,1
518,6,1
18,27,75
16,27,4
214,276,4
502,6,2
352,21,2
74,21,1
488,6,1
280,21,1
443,6,1
251,276,1
58,276,2
321,32,1
245,276,3
42,43,2
216,276,3
41,43,1
189,276,1
10,6,1
367,276,1
433,513,12
341,513,14
519,357,1
386,513,1
389,513,1
502,513,1
211,253,1
171,65,1
414,6,1
30,28,2
34,43,6
336,65,3
306,65,3
136,65,1
224,253,1
455,6,1
416,523,1
391,76,9
98,157,1
338,157,3
527,157,11
343,392,1
146,157,2
65,157,16
57,157,8
443,76,1
191,253,1
308,157,2
306,76,1
95,172,2
200,501,1
137,89,30
429,501,1
190,501,4
147,89,2
40,89,2
425,31,11
127,69,2
371,498,2
489,498,15
477,69,17
497,69,1
391,31,14
241,69,1
359,498,7
299,498,2
220,498,2
312,328,2
234,328,1
506,69,2
298,69,1
475,328,1
282,69,3
513,69,17
421,328,3
55,69,1
157,86,3
341,527,14
432,527,2
283,14,1
495,328,1
323,123,2
257,265,3
0,28,2
392,123,13
183,265,3
114,125,16
478,245,1
488,245,1
11,2,21
461,123,2
201,265,2
440,245,1
403,245,1
92,129,2
502,248,1
241,265,1
524,248,5
2,42,5
9,5,11
350,218,12
364,218,1
363,218,1
489,218,9
137,125,33
314,218,15
285,296,1
344,492,1
170,108,2
306,108,1
141,296,2
10,2,17
330,492,1
271,492,7
387,492,4
279,281,1
239,492,2
34,129,20
400,492,5
292,56,2
364,56,2
520,56,4
354,417,3
339,417,2
328,417,4
69,93,2
338,56,1
73,93,1
54,93,1
168,56,9
163,281,17
145,280,2
524,196,2
486,196,1
269,196,1
236,196,1
203,280,1
91,280,1
370,196,1
498,196,1
367,196,1
51,266,1
448,460,2
224,318,1
205,318,1
398,460,4
469,271,2
409,108,11
122,459,1
318,459,1
131,459,1
256,108,1
338,108,1
130,459,1
278,108,14
296,108,4
97,460,1
144,460,2
28,29,1
207,460,1
60,379,1
132,318,8
323,379,2
69,318,2
1,29,6
346,379,10
58,379,1
129,34,21
31,379,4
530,491,1
393,425,1
271,491,5
232,379,2
196,491,2
488,491,3
75,34,1
121,379,1
380,379,1
233,271,9
15,29,2
234,271,3
0,29,3
182,395,1
319,271,1
394,271,1
89,34,13
116,395,1
491,271,12
125,34,17
52,34,3
57,395,5
404,271,1
207,491,1
530,71,1
518,491,1
89,71,2
284,491,1
40,81,2
422,491,3
439,491,1
401,491,3
427,399,1
203,399,13
129,71,5
108,399,5
392,317,12
444,399,2
167,277,2
521,399,2
402,197,14
175,277,2
527,399,7
302,391,2
205,277,2
109,168,15
426,315,4
17,18,11
489,512,13
69,168,13
209,277,1
12,18,5
6,18,3
495,315,1
360,391,1
66,168,1
516,315,1
410,315,1
69,91,21
29,91,2
493,315,1
269,168,3
210,315,2
135,168,3
85,91,3
471,315,2
196,315,1
0,7,4
5,7,30
63,296,1
412,466,41
203,277,7
228,277,2
272,277,1
21,277,1
271,277,11
23,277,1
50,172,3
461,145,3
87,292,1
358,402,17
271,292,1
1,292,2
20,292,1
276,292,1
458,412,3
319,318,2
350,145,10
399,453,39
429,466,5
76,91,25
315,216,1
1,25,12
480,412,29
128,119,1
505,193,1
474,193,1
48,81,1
59,81,1
308,193,4
300,216,1
248,216,2
344,193,1
320,193,3
93,25,7
199,250,1
477,193,7
163,193,9
398,508,1
277,296,9
296,35,3
45,296,2
18,25,29
350,151,13
245,296,4
268,35,6
338,35,1
397,494,2
27,128,4
113,35,4
83,35,1
262,278,2
218,278,13
32,35,4
353,35,1
438,494,2
74,35,2
165,278,2
173,278,13
379,494,5
500,358,3
226,278,3
409,250,2
490,494,11
91,128,3
43,128,1
332,425,2
47,250,1
173,57,12
123,250,1
190,250,1
296,250,1
513,250,2
520,250,1
182,392,2
201,392,1
167,392,2
130,392,8
1,7,25
183,392,3
414,508,1
315,392,8
195,392,2
54,17,8
401,312,1
191,392,1
244,216,1
436,216,1
292,216,1
402,216,1
428,216,1
198,370,1
441,216,2
22,119,1
218,370,2
33,119,1
440,370,1
248,370,3
510,370,2
0,370,1
458,370,1
517,370,1
392,370,1
310,119,1
296,119,4
107,370,1
450,524,2
293,142,9
466,510,22
490,142,10
91,50,35
196,510,1
128,50,4
409,142,3
144,142,2
203,248,9
62,50,5
315,409,9
437,512,2
74,50,3
374,248,4
306,248,2
168,409,8
134,248,1
11,5,22
469,433,6
470,433,3
235,248,11
432,433,6
82,50,3
438,190,1
444,163,1
206,409,7
292,409,1
35,409,1
0,409,1
280,124,2
179,409,2
300,409,1
100,127,1
459,163,1
216,237,2
492,163,19
417,527,13
93,17,1
415,467,9
293,163,10
304,202,2
260,358,1
433,467,53
371,524,2
132,177,17
402,114,24
69,124,29
501,202,15
119,124,3
491,114,13
461,114,2
1,124,5
252,317,8
263,317,1
267,177,2
337,317,1
217,317,1
391,317,11
35,89,1
104,293,3
292,293,3
224,293,2
351,312,1
524,312,6
489,312,23
331,312,2
281,177,11
243,268,4
52,268,1
253,268,1
215,268,3
357,312,30
79,268,2
199,312,1
110,489,1
216,489,1
273,489,2
202,489,5
392,357,7
146,57,1
268,57,8
246,489,1
443,357,1
278,57,6
44,13,26
216,293,2
254,293,16
270,293,1
6,293,2
33,293,1
171,109,3
7,5,20
512,413,2
412,413,1
0,151,1
385,190,1
439,413,2
193,359,9
315,359,9
523,151,11
155,238,1
125,88,12
59,151,2
248,197,11
375,203,9
216,238,2
65,151,11
218,238,15
158,281,3
422,218,4
3,88,2
312,350,16
192,281,3
83,281,3
234,281,2
372,391,4
315,350,10
404,218,1
157,391,6
379,391,13
480,218,15
105,391,3
397,524,1
202,391,12
250,350,3
399,523,11
142,350,7
37,350,2
390,105,2
464,523,1
410,105,1
340,350,5
8,5,18
305,105,2
124,105,12
347,105,1
308,105,1
436,523,14
208,350,2
250,375,1
460,202,16
191,375,1
196,375,2
31,375,6
502,202,2
